# dT,ddelta
0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,-1.221730476396030607e+00
4.000000000000000000e+00,-1.221730476396030607e+00
3.999999999999999112e+00,-1.221730476396030385e+00
4.000000000000000888e+00,-1.221730476396031051e+00
4.000000000000000888e+00,-1.221730476396031051e+00
4.000000000000000888e+00,-1.221730476396031051e+00
4.000000000000000888e+00,-1.221730476396031051e+00
3.999999999999997780e+00,-1.221730476396031051e+00
3.999999999999997780e+00,-1.221730476396031051e+00
3.999999999999997780e+00,-1.221730476396031051e+00
3.999999999999997780e+00,-1.221730476396031051e+00
3.999999999999997780e+00,-1.221730476396029497e+00
3.999999999999997780e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396029497e+00
4.000000000000003553e+00,-1.221730476396032383e+00
4.000000000000003553e+00,-1.221730476396032383e+00
4.000000000000003553e+00,-1.221730476396032383e+00
3.999999999999970246e+00,-1.221730476396032383e+00
0.000000000000000000e+00,-1.221730476396032383e+00
0.000000000000000000e+00,-1.221730476396032383e+00
0.000000000000000000e+00,-1.221730476396032383e+00
0.000000000000000000e+00,-1.221730476396032383e+00
0.000000000000000000e+00,4.666025840708631911e-01
0.000000000000000000e+00,1.221730476396032383e+00
0.000000000000000000e+00,2.362705503180517752e-01
0.000000000000000000e+00,1.221730476396032383e+00
0.000000000000000000e+00,5.732973437145350015e-01
0.000000000000000000e+00,1.221730476396032383e+00
0.000000000000000000e+00,7.222005616569826536e-01
0.000000000000000000e+00,1.221730476396032383e+00
0.000000000000000000e+00,1.221730476396032383e+00
0.000000000000000000e+00,1.221730476396032383e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396029497e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396030607e+00
0.000000000000000000e+00,1.221730476396030607e+00
0.000000000000000000e+00,1.221730476396030607e+00
0.000000000000000000e+00,1.221730476396030607e+00
0.000000000000000000e+00,1.221730476396030607e+00
0.000000000000000000e+00,1.221730476396030607e+00
0.000000000000000000e+00,1.221730476396030385e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.221730476396031051e+00
0.000000000000000000e+00,1.081101714111010192e+00
0.000000000000000000e+00,5.055654341837773069e-01
0.000000000000000000e+00,1.673598816266219647e-01
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-8.907335945697036905e-02
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-3.200524588350836530e-01
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-6.053516099077227430e-01
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-7.975202781594137313e-01
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.064625132146043596e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-9.721742747143393704e-01
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.108340390442386747e+00
0.000000000000000000e+00,0.000000000000000000e+00
-4.000000000000003553e+00,-1.063315666833258843e+00
-4.000000000000003553e+00,0.000000000000000000e+00
-4.000000000000003553e+00,-9.348637241352333316e-01
-4.000000000000003553e+00,-7.834382861724150660e-01
-4.000000000000003553e+00,0.000000000000000000e+00
-4.000000000000003553e+00,-7.150147443182923723e-01
-4.000000000000003553e+00,0.000000000000000000e+00
-4.000000000000003553e+00,-7.751889408636708501e-01
-4.000000000000003553e+00,0.000000000000000000e+00
-4.000000000000003553e+00,-8.959218767665352301e-01
-4.000000000000003553e+00,-1.011129807139093284e+00
-4.000000000000003553e+00,0.000000000000000000e+00
-3.999999999999997780e+00,-1.072169380237249170e+00
-3.999999999999997780e+00,0.000000000000000000e+00
-3.999999999999997780e+00,-1.175710479804909170e+00
-3.999999999999997780e+00,-1.059010956409696336e+00
-3.999999999999997780e+00,0.000000000000000000e+00
-3.999999999999997780e+00,-3.989496472670384097e-01
-4.000000000000000888e+00,0.000000000000000000e+00
-4.000000000000000888e+00,8.397839709803213148e-01
-4.000000000000000888e+00,0.000000000000000000e+00
-4.000000000000000888e+00,1.221730476396030607e+00
-4.000000000000000888e+00,1.221730476396030607e+00
-4.000000000000000000e+00,1.221730476396030607e+00
-3.999999999999965361e+00,1.221730476396030607e+00
-4.000000000000000000e+00,1.221730476396030607e+00
-4.000000000000000000e+00,2.426564966334757711e-01
-3.999999999999999112e+00,-1.221730476396030607e+00
-4.000000000000000888e+00,-3.077948054713251780e-02
-4.000000000000000888e+00,-1.095984069760122859e+00
-4.000000000000000888e+00,0.000000000000000000e+00
-4.000000000000000888e+00,-5.991395905768377439e-01
-3.999999999999997780e+00,0.000000000000000000e+00
-3.999999999999997780e+00,1.337306854108077647e-01
-3.999999999999997780e+00,8.525233448800545455e-01
-3.999999999999997780e+00,0.000000000000000000e+00
-3.999999999999997780e+00,9.896002500970441096e-01
-3.999999999999997780e+00,0.000000000000000000e+00
4.060997283600542573e-01,8.180329261759162751e-01
3.999999999999997780e+00,6.130507114048056039e-01
3.999999999999997780e+00,0.000000000000000000e+00
3.999999999999997780e+00,3.712793325773133257e-01
3.999999999999997780e+00,0.000000000000000000e+00
3.999999999999997780e+00,1.545952670335835055e-01
3.999999999999997780e+00,0.000000000000000000e+00
4.000000000000000888e+00,-6.833414391026748635e-02
4.000000000000000888e+00,0.000000000000000000e+00
4.000000000000000888e+00,-2.534415325864784463e-01
4.000000000000000888e+00,0.000000000000000000e+00
4.000000000000000888e+00,-3.457279930725518091e-02
4.000000000000000000e+00,0.000000000000000000e+00
3.593900271639944410e+00,-1.471927337440670502e-01
4.000000000000000000e+00,-2.279969903722658953e-01
4.000000000000000000e+00,0.000000000000000000e+00
3.999999999999999112e+00,-3.143988373573970430e-01
4.000000000000000888e+00,0.000000000000000000e+00
4.000000000000000888e+00,-3.811971335897241242e-01
4.000000000000000888e+00,-4.548727491174096582e-01
4.000000000000000888e+00,0.000000000000000000e+00
3.999999999999997780e+00,-4.911257734106020956e-01
3.999999999999997780e+00,0.000000000000000000e+00
3.999999999999997780e+00,-5.062355384695809146e-01
3.999999999999997780e+00,0.000000000000000000e+00
3.999999999999997780e+00,-5.196184060311196395e-01
3.999999999999997780e+00,-5.275093539591649838e-01
3.516582853848781998e+00,0.000000000000000000e+00
-4.000000000000003553e+00,-4.911813962618555851e-01
-3.975206359610983231e+00,0.000000000000000000e+00
-3.999999999999997780e+00,-4.264016164592607239e-01
-3.999999999999997780e+00,-3.337329595373722535e-01
-3.999999999999997780e+00,0.000000000000000000e+00
-3.999999999999997780e+00,-2.470092517599591642e-01
-3.999999999999997780e+00,0.000000000000000000e+00
-4.000000000000000888e+00,-1.531118225898853158e-01
-4.000000000000000888e+00,0.000000000000000000e+00
-4.000000000000000888e+00,-6.158740094162652723e-02
-4.000000000000000888e+00,2.567858452056683005e-02
-4.000000000000000888e+00,0.000000000000000000e+00
-4.000000000000000000e+00,9.092048056443674531e-02
-3.541376494237791661e+00,0.000000000000000000e+00
-4.000000000000000000e+00,1.539605180138951812e-01
-4.000000000000000000e+00,1.970659207862532347e-01
-7.291420793328992067e-01,0.000000000000000000e+00
1.810466147817479943e+00,2.079992093886942617e-01
1.005808938775443195e-05,0.000000000000000000e+00
3.823743248767150327e+00,2.301102505443894386e-01
3.094922624658881016e+00,2.519904183386716956e-01
1.908379491896343039e+00,0.000000000000000000e+00
3.999999999999999112e+00,2.776468925260521803e-01
1.692902040737256919e-01,0.000000000000000000e+00
2.780768061398676494e+00,2.842597537331237323e-01
1.544862562596893696e-05,0.000000000000000000e+00
1.257920973264270437e+00,2.798537911911062603e-01
3.888458963817606473e-01,2.688121718788918924e-01
2.160204154444400615e-06,0.000000000000000000e+00
-2.670962347504524104e-01,2.639962609775302060e-01
-1.483859726758574027e-06,0.000000000000000000e+00
-5.259085415654674023e-01,2.384133017339797600e-01
-5.924429177880191633e-01,2.093242463853263458e-01
-3.291315026077157313e-06,0.000000000000000000e+00
-5.043246366215781151e-01,1.797833383322033352e-01
-2.801787971073999017e-06,0.000000000000000000e+00
-3.749010427166174497e-01,1.517419092639292755e-01
-2.082771999312171829e-06,0.000000000000000000e+00
-2.075512239022581085e-01,1.175141472728114672e-01
-8.596123154208101802e-02,8.756639888439360364e-02
-4.775533385403818443e-07,0.000000000000000000e+00
1.100167306632149344e-03,5.615102211461511783e-02
6.112006734060315694e-09,0.000000000000000000e+00
5.139509954048132601e-02,1.708216475806920154e-02
2.855267439150210862e-07,0.000000000000000000e+00
6.803694517720643153e-02,-2.050314896741393944e-02
5.852889170903236016e-02,-5.014150884993205659e-02
3.251566030315622413e-07,0.000000000000000000e+00
4.105811674976339587e-02,-7.389487639143636766e-02
2.280993810499509777e-07,0.000000000000000000e+00
2.112297900134230133e-02,-9.416087480378347585e-02
4.436481815865700451e-03,-1.073530964991740583e-01
2.464633219734224667e-08,0.000000000000000000e+00
-7.189665949708379244e-03,-1.131719718899909799e-01
-3.994236746907020574e-08,0.000000000000000000e+00
-1.355468106804397221e-02,-1.216278949668181258e-01
-7.530336493255518349e-08,0.000000000000000000e+00
-1.433170058721539020e-02,-1.144562254629394871e-01
-1.204624708428109203e-02,-1.081637015433271759e-01
-6.692277981779071183e-08,0.000000000000000000e+00
-8.711673879874259896e-03,-1.027085692243440984e-01
-4.839791900579371031e-08,-5.204170427930421283e-16
